Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,11589616,16559,0.001429,2.7714,1.0976,0.004346
Antwerp,1857986,2228,0.0012,2.7714,1.0,0.003325
Brussels,1208542,1494,0.001237,2.7714,1.0,0.003428
East Flanders,1515064,2153,0.001422,2.7714,1.0,0.00394
Flemish Brabant,1146175,1461,0.001276,2.7714,1.2206,0.004315
Hainaut,1344241,2113,0.001573,2.7714,1.2698,0.005535
Liege,1106992,1262,0.001141,2.7714,1.1883,0.003758
Limburg,874048,1571,0.001799,2.7714,1.0622,0.005295
Luxembourg,284638,457,0.001609,2.7714,1.317,0.005873
Namur,494325,572,0.001159,2.7714,1.2408,0.003986
Walloon Brabant,403599,754,0.001871,2.7714,1.4584,0.007561
West Flanders,1195796,2116,0.00177,2.7714,1.0455,0.00513
