Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,212559409,357929,0.001684,4.7253,1.0,0.007957
Acre,881935,2281,0.002587,5.2895,1.2931,0.017698
Alagoas,3337357,3384,0.001014,5.2895,1.0874,0.005834
Amapa,845731,2004,0.002371,5.2895,1.1297,0.014166
Amazonas,4144597,17782,0.004291,5.2895,1.0,0.022695
Bahia,14873064,22491,0.001512,5.2895,1.0,0.007999
Ceara,9132078,10889,0.001192,5.2895,1.0902,0.006877
Distrito Federal,3015268,6588,0.002185,5.2895,1.0898,0.012597
Espirito Santo,4018650,8087,0.002013,5.2895,1.0,0.010646
Goias,7018354,11879,0.001693,5.2895,1.1184,0.010014
Maranhao,7075181,2028,0.000287,5.2895,1.0,0.001517
Mato Grosso,3484466,8946,0.002568,5.2895,1.0147,0.013782
Mato Grosso do Sul,2778986,4660,0.001677,5.2895,1.0,0.008872
Minas Gerais,21168791,42715,0.002018,5.2895,1.0,0.010674
Para,8602865,9941,0.001156,5.2895,1.0218,0.006246
Paraiba,4018127,7691,0.001914,5.2895,1.0888,0.011025
Parana,11433957,26125,0.002285,5.2895,1.1796,0.014256
Pernambuco,9557071,10454,0.001094,5.2895,1.0579,0.006121
Piaui,3273227,3567,0.00109,5.2895,1.0,0.005766
Rio de Janeiro,17264943,21562,0.001249,5.2895,1.1345,0.007495
Rio Grande do Norte,3506853,4573,0.001304,5.2895,1.0,0.006899
Rio Grande do Sul,11377239,19112,0.00168,5.2895,1.0,0.008886
Rondonia,1777225,7515,0.004229,5.2895,1.0,0.02237
Roraima,605761,1802,0.002976,5.2895,1.2899,0.020308
Santa Catarina,7164788,17168,0.002396,5.2895,1.0,0.012675
Sao Paulo,45919049,77428,0.001686,5.2895,1.046,0.00933
Sergipe,2298696,4532,0.001972,5.2895,1.0,0.010431
Tocantins,1572866,2725,0.001733,5.2895,1.0,0.009167
