Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,37855702,30529,0.000806,2.8703,1.0,0.002315
Alberta,4413146,3028,0.000686,2.8703,1.0,0.00197
British Columbia,5110917,3109,0.000609,2.8703,1.0,0.001747
Manitoba,1377517,841,0.000611,2.8703,1.0,0.001754
New Brunswick,779993,113,0.000146,2.8703,1.0,0.00042
Newfoundland and Labrador,521365,10,2.1e-05,2.8703,2.0,0.000121
Northwest Territories,44904,4,0.000111,2.8703,1.0,0.00032
Nova Scotia,977457,0,1e-06,2.8703,1.0,3e-06
Ontario,14711827,13179,0.000896,2.8703,1.0,0.002571
Prince Edward Island,158158,1,1.3e-05,2.8703,1.0,3.6e-05
Quebec,8537674,8637,0.001012,2.8703,1.0,0.002904
Saskatchewan,1181666,1595,0.001351,2.8703,1.0,0.003877
Yukon,41078,0,2.4e-05,2.8703,1.0,7e-05
Nunavut,38780,12,0.000335,2.8703,1.0,0.000962
