Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,19116209,27710,0.00145,2.942,1.0,0.004265
Antofagasta,607534,1865,0.003071,2.942,1.0,0.009036
Araucania,957224,2165,0.002263,2.942,1.0,0.006657
Arica y Parinacota,226068,649,0.002875,2.942,1.1996,0.010147
Atacama,288944,569,0.001973,2.942,1.2758,0.007404
Aysen,103158,176,0.001716,2.942,1.0,0.005048
Biobio,1556805,2768,0.001779,2.942,1.0,0.005233
Coquimbo,757586,849,0.001122,2.942,1.1583,0.003823
Los Lagos,828708,3950,0.004768,2.942,1.0,0.014026
Los Rios,384837,1371,0.003565,2.942,1.0,0.010489
Magallanes,166533,615,0.003699,2.942,1.0,0.010882
Maule,1044950,2495,0.002389,2.942,1.1198,0.007869
Metropolitana,7112808,5491,0.000772,2.942,1.0,0.002272
Nuble,480609,810,0.001687,2.942,1.0,0.004964
OHiggins,914555,1296,0.001418,2.942,1.0667,0.00445
Tarapaca,330558,977,0.002959,2.942,1.0,0.008704
Valparaiso,1815902,1663,0.000916,2.942,1.0,0.002696
