Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,50882884,76760,0.001509,3.4072,1.0,0.00514
Amazonas,76589,247,0.003238,3.4072,2.0,0.022065
Antioquia,6407102,7890,0.001232,3.4072,1.0,0.004196
Arauca,262174,119,0.000458,3.4072,1.0,0.00156
Atlantico,2535517,4137,0.001632,3.4072,1.0,0.005561
Bolivar,2070110,1804,0.000872,3.4072,1.0,0.002971
Boyaca,1217376,2525,0.002075,3.4072,1.0,0.00707
Caldas,998255,1797,0.001801,3.4072,1.0,0.006137
Capital District,7412566,21112,0.002848,3.4072,1.0,0.009705
Caqueta,401489,302,0.000755,3.4072,1.1527,0.002964
Casanare,420504,469,0.001118,3.4072,1.0,0.003808
Cauca,1464488,1280,0.000875,3.4072,1.0,0.00298
Cesar,1200574,829,0.000691,3.4072,1.0,0.002356
Choco,534826,249,0.000467,3.4072,1.0,0.001593
Cordoba,1784783,1220,0.000684,3.4072,1.4824,0.003455
Cundinamarca,2919060,5367,0.001839,3.4072,1.0,0.006266
Guainia,48114,13,0.000291,3.4072,1.0,0.000991
Guaviare,82767,34,0.000423,3.4072,1.0303,0.001484
Huila,1100386,2357,0.002143,3.4072,1.0,0.007301
La Guajira,880560,263,0.0003,3.4072,1.0,0.001022
Magdalena,1341746,993,0.000741,3.4072,1.0,0.002524
Meta,1039722,983,0.000946,3.4072,1.0,0.003225
Narino,1630592,2138,0.001312,3.4072,1.0,0.00447
Norte de Santander,1491689,1156,0.000776,3.4072,1.0,0.002643
Putumayo,348182,270,0.000778,3.4072,1.0,0.002652
Quindio,539904,1004,0.001861,3.4072,1.0,0.006342
Risaralda,943401,1106,0.001173,3.4072,1.0,0.003998
San Andres y Providencia,61280,36,0.000604,3.4072,1.0588,0.002178
Santander,2184837,2704,0.001238,3.4072,1.0,0.004218
Sucre,904863,409,0.000453,3.4072,1.0,0.001544
Tolima,1330187,2429,0.001827,3.4072,1.0,0.006224
Valle del Cauca,4475886,11495,0.002568,3.4072,1.2086,0.010577
Vaupes,40797,7,0.000196,3.4072,1.0,0.000668
Vichada,107808,16,0.000158,3.4072,1.0,0.000537
