Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,83783945,77671,0.000927,3.0402,1.0,0.002818
Baden-Wurttemberg,11069533,8640,0.000781,3.0402,1.0,0.002373
Bayern,13076721,12352,0.000945,3.0402,1.0,0.002872
Berlin,3644826,3273,0.000898,3.0402,1.0,0.002731
Brandenburg,2511917,3179,0.001266,3.0402,1.0,0.003849
Bremen,682986,566,0.00083,3.0402,1.1098,0.002801
Hamburg,1841179,1636,0.000889,3.0402,1.0,0.002703
Hessen,6265809,5915,0.000944,3.0402,1.0,0.00287
Mecklenburg-Vorpommern,1609675,1453,0.000903,3.0402,1.0,0.002746
Niedersachsen,7982448,6365,0.000797,3.0402,1.0,0.002425
Nordrhein-Westfalen,17932651,15456,0.000862,3.0402,1.0,0.002621
Rheinland-Pfalz,4084844,3542,0.000867,3.0402,1.0,0.002637
Saarland,990509,1244,0.001257,3.0402,1.1361,0.004341
Sachsen,4077937,5429,0.001332,3.0402,1.0,0.004048
Sachsen-Anhalt,2208321,3565,0.001615,3.0402,1.0,0.004909
Schleswig-Holstein,2896712,2371,0.000819,3.0402,1.0,0.00249
Thuringen,2143145,3449,0.00161,3.0402,1.0,0.004894
