Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,1380004385,89407,6.5e-05,2.4534,1.0,0.000159
Andaman and Nicobar Islands,417036,0,2e-06,2.4534,1.0,6e-06
Andhra Pradesh,53903393,834,1.5e-05,2.4534,1.0,3.8e-05
Arunachal Pradesh,1570458,8,6e-06,2.4534,1.0,1.4e-05
Assam,35607039,137,4e-06,2.4534,1.0,1e-05
Bihar,124799926,799,6e-06,2.4534,1.0,1.6e-05
Chandigarh,1158473,208,0.00018,2.4534,1.1243,0.000498
Chhattisgarh,29436231,8581,0.000292,2.4534,2.0,0.001431
Dadra and Nagar Haveli and Daman and Diu,615724,4,8e-06,2.4534,1.0,2e-05
Delhi,18710922,1145,6.1e-05,2.4534,1.0,0.00015
Goa,1586250,492,0.000311,2.4534,1.0,0.000763
Gujarat,63872399,2351,3.7e-05,2.4534,1.0,9e-05
Haryana,28204692,668,2.4e-05,2.4534,1.0,5.8e-05
Himachal Pradesh,7451955,316,4.3e-05,2.4534,1.1835,0.000124
Jammu and Kashmir,13606320,467,3.4e-05,2.4534,1.0,8.4e-05
Jharkhand,38593948,374,1e-05,2.4534,1.0,2.4e-05
Karnataka,67562686,3349,5e-05,2.4534,1.0,0.000122
Kerala,35699443,38998,0.001092,2.4534,1.0,0.00268
Ladakh,274289,37,0.000139,2.4534,1.2333,0.000419
Madhya Pradesh,85358965,1406,1.6e-05,2.4534,1.0,4e-05
Maharashtra,123144223,17399,0.000141,2.4534,1.0,0.000347
Manipur,3091545,75,2.5e-05,2.4534,1.0,6e-05
Meghalaya,3366710,30,9e-06,2.4534,1.1111,2.5e-05
Mizoram,1239244,17,1.5e-05,2.4534,1.0,3.6e-05
Nagaland,2249695,20,9e-06,2.4534,1.1111,2.5e-05
Odisha,46356334,721,1.6e-05,2.4534,1.0,3.8e-05
Puducherry,1413542,218,0.000155,2.4534,1.0431,0.000396
Punjab,30141373,1381,4.6e-05,2.4534,1.0154,0.000114
Rajasthan,81032689,742,9e-06,2.4534,1.0,2.2e-05
Sikkim,690251,19,2.9e-05,2.4534,1.0,7.1e-05
Tamil Nadu,77841267,3562,4.6e-05,2.4534,1.0,0.000112
Telangana,39362732,1149,2.9e-05,2.4534,1.0,7.2e-05
Tripura,4169794,5,1e-06,2.4534,1.0,4e-06
Uttar Pradesh,237882725,1563,7e-06,2.4534,1.0,1.6e-05
Uttarakhand,11250858,478,4.3e-05,2.4534,1.0,0.000104
West Bengal,99609303,1822,1.8e-05,2.4534,1.0,4.5e-05
Lakshadweep,64429,32,0.000512,2.4534,1.0,0.001257
