Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,60461828,85585,0.001416,2.7355,1.0037,0.003887
Abruzzo,1311580,2052,0.001565,2.7355,1.3386,0.005732
Basilicata,562869,331,0.00059,2.7355,1.0,0.001614
Calabria,1947131,1663,0.000855,2.7355,1.0,0.002338
Campania,5801692,8403,0.001449,2.7355,1.2155,0.004817
Emilia-Romagna,4459477,8096,0.001816,2.7355,1.0,0.004967
Friuli Venezia Giulia,1215220,3144,0.002588,2.7355,1.0,0.00708
Lazio,5879082,7598,0.001293,2.7355,1.0,0.003536
Liguria,1550640,1960,0.001265,2.7355,1.0705,0.003703
Lombardia,10060574,12389,0.001232,2.7355,1.0865,0.00366
Marche,1525271,2573,0.001688,2.7355,1.0,0.004616
Molise,305617,469,0.001538,2.7355,1.3286,0.005589
P.A. Bolzano,532318,3682,0.006919,2.7355,1.1813,0.022357
P.A. Trento,541418,1331,0.00246,2.7355,1.1884,0.007998
Piemonte,4356406,5334,0.001225,2.7355,1.0496,0.003516
Puglia,4029053,6775,0.001682,2.7355,1.0142,0.004666
Sardegna,1639591,1402,0.000856,2.7355,1.0401,0.002435
Sicilia,4999891,6232,0.001247,2.7355,1.0,0.00341
Toscana,3729641,3548,0.000952,2.7355,1.1505,0.002995
Umbria,882015,2059,0.002336,2.7355,1.1847,0.007569
Valle d'Aosta,125666,55,0.000446,2.7355,1.0,0.001219
Veneto,4905854,6489,0.001323,2.7355,1.0,0.003619
