Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,126476458,23242,0.000184,2.7854,1.0,0.000512
Aichi,7552239,1177,0.000156,2.7854,1.0,0.000434
Akita,966490,11,1.2e-05,2.7854,1.0,3.5e-05
Aomori,1246371,36,3e-05,2.7854,1.0,8.3e-05
Chiba,6259382,1972,0.000315,2.7854,1.0,0.000878
Ehime,1339215,49,3.7e-05,2.7854,1.0,0.000104
Fukui,767937,33,4.4e-05,2.7854,1.1786,0.000145
Fukuoka,5103679,1028,0.000202,2.7854,1.0,0.000562
Fukushima,1845519,84,4.6e-05,2.7854,1.0,0.000128
Gifu,1986587,254,0.000128,2.7854,1.0,0.000358
Gunma,1942456,256,0.000132,2.7854,1.0,0.000369
Hiroshima,2804177,178,6.4e-05,2.7854,1.0,0.000178
Hokkaido,5250049,765,0.000146,2.7854,1.0,0.000406
Hyogo,5466190,1064,0.000195,2.7854,1.0,0.000543
Ibaraki,2860307,439,0.000154,2.7854,1.0,0.000428
Ishikawa,1137649,43,3.9e-05,2.7854,1.0,0.000108
Iwate,1226816,8,7e-06,2.7854,1.0,2e-05
Kagawa,956347,67,7.1e-05,2.7854,1.3137,0.00026
Kagoshima,1602273,89,5.6e-05,2.7854,1.0,0.000156
Kanagawa,9198268,2606,0.000283,2.7854,1.0,0.000789
Kochi,698029,26,3.9e-05,2.7854,1.0,0.000108
Kumamoto,1747567,102,5.9e-05,2.7854,1.0,0.000164
Kyoto,2582957,660,0.000256,2.7854,1.0,0.000713
Mie,1780882,179,0.000101,2.7854,1.0,0.000282
Miyagi,2306365,141,6.2e-05,2.7854,1.0,0.000171
Miyazaki,1073301,101,9.5e-05,2.7854,1.0,0.000265
Nagano,2048790,97,4.8e-05,2.7854,1.0,0.000133
Nagasaki,1326524,111,8.4e-05,2.7854,1.0,0.000235
Nara,1330123,180,0.000136,2.7854,1.0,0.000379
Niigata,2223106,62,2.8e-05,2.7854,1.0,7.9e-05
Oita,1135434,118,0.000105,2.7854,1.0261,0.0003
Okayama,1889586,96,5.1e-05,2.7854,1.0,0.000143
Okinawa,1453168,530,0.000365,2.7854,1.0,0.001018
Osaka,8809363,2173,0.000247,2.7854,1.0,0.000687
Saga,814711,42,5.3e-05,2.7854,1.0,0.000147
Saitama,7349693,1756,0.000239,2.7854,1.0,0.000666
Shiga,1413943,137,9.8e-05,2.7854,1.0,0.000272
Shimane,674346,26,4e-05,2.7854,2.0,0.000223
Shizuoka,3643528,314,8.6e-05,2.7854,1.0,0.000241
Tochigi,1933990,200,0.000104,2.7854,1.0,0.000289
Tokushima,727977,21,3e-05,2.7854,1.0,8.4e-05
Tokyo,13920663,5726,0.000411,2.7854,1.0,0.001146
Tottori,555558,5,1.1e-05,2.7854,1.0,3e-05
Toyama,1043502,25,2.5e-05,2.7854,1.0,6.9e-05
Wakayama,924933,64,7e-05,2.7854,1.0,0.000196
Yamagata,1077666,47,4.5e-05,2.7854,2.0,0.000248
Yamaguchi,1358336,130,9.6e-05,2.7854,1.0,0.000269
Yamanashi,810956,14,1.8e-05,2.7854,1.0,5.2e-05
