Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,127792286,97968,0.000767,4.0063,1.0,0.003071
Aguascalientes,1434635,1125,0.000785,4.0063,1.0,0.003144
Baja California,3634868,1245,0.000343,4.0063,1.0,0.001373
Baja California Sur,804708,1194,0.001485,4.0063,1.0,0.005949
Campeche,1000617,180,0.000181,4.0063,1.0,0.000725
Chiapas,5730367,185,3.2e-05,4.0063,1.0,0.00013
Chihuahua,3801487,1070,0.000282,4.0063,1.0,0.001129
Ciudad de Mexico,9018645,31882,0.003535,4.0063,1.0,0.014163
Coahuila,3218720,2492,0.000775,4.0063,1.0,0.003103
Colima,785153,350,0.000447,4.0063,1.0,0.001791
Durango,1868996,795,0.000426,4.0063,1.0,0.001706
Guanajuato,6228175,4827,0.000775,4.0063,1.0,0.003106
Guerrero,3657048,1704,0.000466,4.0063,1.0403,0.001943
Hidalgo,3086414,1423,0.000461,4.0063,1.0,0.001848
Jalisco,8409693,4039,0.00048,4.0063,1.0,0.001925
Mexico,17427790,10357,0.000594,4.0063,1.0,0.002381
Michoacan,4825401,1581,0.000328,4.0063,1.0,0.001313
Morelos,2044058,2617,0.001281,4.0063,1.0062,0.005163
Nayarit,1288571,562,0.000437,4.0063,1.0,0.00175
Nuevo Leon,5610153,5610,0.001,4.0063,1.0,0.004007
Oaxaca,4143593,1857,0.000448,4.0063,1.0011,0.001798
Puebla,6604451,3264,0.000494,4.0063,1.0,0.001981
Queretaro,2279637,4238,0.00186,4.0063,1.0,0.00745
Quintana Roo,1723259,671,0.00039,4.0063,1.0,0.001562
San Luis Potosi,2866142,2922,0.00102,4.0063,1.0858,0.004437
Sinaloa,3156674,989,0.000314,4.0063,1.0,0.001256
Sonora,3074745,2356,0.000767,4.0063,1.0,0.003071
Tabasco,2572287,1712,0.000666,4.0063,1.0,0.002668
Tamaulipas,3650602,2025,0.000555,4.0063,1.0,0.002223
Tlaxcala,1380011,1085,0.000787,4.0063,1.3752,0.004336
Veracruz,8539862,1828,0.000214,4.0063,1.0,0.000858
Yucatan,2259098,834,0.00037,4.0063,1.0,0.001481
Zacatecas,1666426,949,0.00057,4.0063,1.0,0.002284
