Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,17134873,29106,0.001699,3.0608,1.0,0.005199
Drenthe,493682,735,0.001491,3.0608,1.0,0.004563
Flevoland,423021,627,0.001485,3.0608,1.0,0.004544
Friesland,649957,1159,0.001785,3.0608,1.0,0.005463
Gelderland,2085952,3134,0.001503,3.0608,1.0,0.0046
Groningen,585866,829,0.001417,3.0608,1.0,0.004336
Limburg,1117201,2570,0.002301,3.0608,1.0,0.007044
Noord-Brabant,2562955,5116,0.001997,3.0608,1.0,0.006111
Noord-Holland,2879527,4982,0.00173,3.0608,1.0,0.005297
Overijssel,1162406,1998,0.00172,3.0608,1.0,0.005264
Utrecht,1354834,1715,0.001267,3.0608,1.0,0.003877
Zeeland,383488,665,0.001737,3.0608,1.0,0.005316
Zuid-Holland,3708696,5180,0.001397,3.0608,1.0,0.004276
Aruba,106766,244,0.002295,3.0608,1.0,0.007024
Curacao,164100,37,0.000232,3.0608,1.48,0.001049
Sint Maarten,42882,112,0.002635,3.0608,1.2584,0.01015
Bonaire, Sint Eustatius and Saba,26221,0,3.8e-05,3.0608,1.0,0.000117
