Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,19237682,17495,0.000909,3.1395,1.005,0.00287
Alba,323778,318,0.000985,3.1395,1.0,0.003093
Arad,415732,320,0.000772,3.1395,1.0,0.002424
Argeș,574920,255,0.000445,3.1395,1.0537,0.001473
Bacău,580912,391,0.000675,3.1395,1.0,0.002119
Bihor,559992,404,0.000723,3.1395,1.0,0.002271
Bistrița-Năsăud,277724,161,0.000583,3.1395,1.0,0.001831
Botoșani,376304,360,0.000959,3.1395,1.0,0.003012
Brașov,553278,787,0.001424,3.1395,1.0664,0.004768
Brăila,285851,136,0.000479,3.1395,1.0,0.001505
București,1832883,2827,0.001543,3.1395,1.1232,0.005441
Buzău,409060,135,0.000332,3.1395,1.1345,0.001184
Caraș-Severin,269470,192,0.000716,3.1395,1.0,0.002249
Călărași,280099,179,0.000643,3.1395,1.2695,0.002561
Cluj,709445,877,0.001238,3.1395,1.0,0.003885
Constanța,671910,554,0.000826,3.1395,1.0,0.002593
Covasna,201437,94,0.000472,3.1395,1.0,0.001481
Dâmbovița,486964,345,0.000711,3.1395,1.0207,0.002277
Dolj,621046,440,0.00071,3.1395,1.134,0.002528
Galați,499650,481,0.000965,3.1395,1.0,0.003029
Giurgiu,263194,140,0.000536,3.1395,1.0,0.001682
Gorj,311918,201,0.000648,3.1395,1.3581,0.002761
Harghita,301450,101,0.000338,3.1395,1.0,0.001062
Hunedoara,379987,462,0.001218,3.1395,1.0948,0.004188
Ialomița,254130,177,0.0007,3.1395,1.2378,0.002722
Iași,791665,690,0.000873,3.1395,1.0,0.00274
Ilfov,486644,685,0.00141,3.1395,1.0,0.004426
Maramureș,458471,835,0.001823,3.1395,1.3511,0.007735
Mehedinți,238867,104,0.00044,3.1395,1.0,0.00138
Mureș,533064,339,0.000638,3.1395,1.0,0.002002
Neamț,438221,381,0.000872,3.1395,1.0079,0.002758
Olt,389603,193,0.000498,3.1395,1.0,0.001563
Prahova,712254,452,0.000636,3.1395,1.2249,0.002446
Satu Mare,331109,321,0.000972,3.1395,1.0,0.003053
Sălaj,209893,214,0.001024,3.1395,1.0,0.003216
Sibiu,401168,230,0.000576,3.1395,1.0,0.001808
Suceava,622533,723,0.001163,3.1395,1.0098,0.003687
Teleorman,328683,246,0.000751,3.1395,1.2812,0.003023
Timiș,705745,1318,0.001869,3.1395,1.083,0.006355
Tulcea,192037,98,0.000516,3.1395,1.0,0.001618
Vaslui,371156,268,0.000725,3.1395,1.0,0.002275
Vâlcea,348318,231,0.000666,3.1395,1.0,0.002091
Vrancea,317419,124,0.000394,3.1395,1.0,0.001236
