Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,46754783,229423,0.004907,3.2867,1.0,0.016128
Andalusia,8427405,43248,0.005132,3.2867,1.0,0.016867
Aragon,1320586,3808,0.002884,3.2867,1.0,0.00948
Asturias,1022205,3462,0.003388,3.2867,1.1637,0.012957
Baleares,1188220,2880,0.002425,3.2867,1.0,0.007969
Canarias,2206901,1944,0.000881,3.2867,1.0,0.002897
Cantabria,581641,886,0.001525,3.2867,1.0,0.005012
Castilla - La Mancha,2034877,13032,0.006405,3.2867,1.0,0.021051
Castilla y Leon,2407733,14763,0.006132,3.2867,1.0,0.020154
Catalonia,7566431,27345,0.003614,3.2867,1.0,0.011878
Ceuta,84829,240,0.002841,3.2867,1.0,0.009338
C. Valenciana,4974969,52277,0.010508,3.2867,1.0,0.034537
Extremadura,1065424,4221,0.003963,3.2867,1.0,0.013024
Galicia,2700441,10373,0.003842,3.2867,1.0,0.012626
Madrid,6641649,30661,0.004617,3.2867,1.0,0.015173
Melilla,84689,438,0.005184,3.2867,1.0,0.017037
Murcia,1487663,8845,0.005946,3.2867,1.0,0.019543
Navarra,649946,1546,0.00238,3.2867,1.0,0.007823
Pais Vasco,2177880,7472,0.003431,3.2867,1.0865,0.012253
La Rioja,313571,1982,0.006324,3.2867,1.0,0.020785
