Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5639632,6745,0.001196,2.6303,1.0,0.003146
Aitkin,15886,15,0.001007,2.9333,1.0,0.002954
Anoka,356921,420,0.00118,2.7154,1.0,0.003203
Becker,34423,36,0.001075,2.6797,1.0,0.00288
Beltrami,47188,50,0.001081,2.6488,1.0,0.002863
Benton,40889,57,0.001418,2.7162,1.3571,0.005229
Big Stone,4991,1,0.000401,2.1396,1.0,0.000857
Blue Earth,67653,61,0.000916,2.564,1.0,0.00235
Brown,25008,49,0.001999,2.8224,1.2564,0.00709
Carlton,35871,56,0.001589,2.7252,1.12,0.00485
Carver,105089,109,0.001047,2.6421,1.0,0.002766
Cass,29779,13,0.00047,2.4687,1.0,0.001161
Chippewa,11800,5,0.000508,2.1274,1.0,0.001082
Chisago,56579,83,0.001485,2.8508,1.0,0.004232
Clay,64222,61,0.000965,2.4846,1.0,0.002399
Clearwater,8818,2,0.00034,2.6661,1.0,0.000907
Cook,5463,1,0.000366,2.2349,1.0,0.000818
Cottonwood,11196,12,0.001161,2.5294,1.0,0.002937
Crow Wing,65055,52,0.000815,2.8328,1.0,0.002308
Dakota,429021,609,0.001422,2.8138,1.0,0.004001
Dodge,20934,38,0.001863,2.7963,1.0,0.005209
Douglas,38141,29,0.000787,2.7199,1.0,0.002139
Faribault,13653,25,0.001904,2.9703,1.0,0.005656
Fillmore,21067,32,0.001566,2.8616,1.0,0.004482
Freeborn,30281,75,0.00251,2.8991,1.0,0.007276
Goodhue,46340,91,0.001985,2.8966,1.0,0.005751
Grant,5972,12,0.002177,3.2816,1.3333,0.009525
Hennepin,1265843,1419,0.001122,2.6285,1.0,0.002949
Houston,18600,54,0.002957,2.9402,1.1489,0.009989
Hubbard,21491,33,0.001582,2.8464,1.7368,0.007821
Isanti,40596,53,0.00133,2.6978,1.4324,0.00514
Itasca,45130,38,0.000864,2.6128,1.1515,0.0026
Jackson,9846,14,0.001523,2.8017,1.0,0.004268
Kanabec,16337,24,0.00153,3.0459,1.0,0.004661
Kandiyohi,43199,52,0.001227,2.8703,1.0196,0.003591
Kittson,4298,11,0.002792,3.2383,2.0,0.018082
Koochiching,12229,4,0.000409,2.3033,1.0,0.000942
Lac qui Parle,6623,4,0.000755,2.4029,1.0,0.001814
Lake,10641,11,0.001128,2.3707,1.0,0.002673
Lake of the Woods,3740,6,0.001872,2.7116,1.2,0.00609
Le Sueur,28887,47,0.001662,2.7943,1.0,0.004643
Lincoln,5639,4,0.000887,2.5212,1.0,0.002235
Lyon,25474,13,0.00055,2.3736,1.0,0.001304
McLeod,35893,25,0.000724,2.6604,1.0,0.001927
Mahnomen,5527,6,0.001267,2.6379,1.0,0.003341
Marshall,9336,5,0.000643,2.4956,2.0,0.003208
Martin,19683,23,0.001219,2.6908,1.0952,0.003593
Meeker,23222,13,0.000603,2.489,1.0,0.001501
Mille Lacs,26277,22,0.000875,2.6546,1.2941,0.003007
Morrison,33386,13,0.000419,2.4327,1.0,0.00102
Mower,40062,90,0.002271,2.8496,1.0,0.006473
Murray,8194,15,0.001953,2.7686,1.0,0.005406
Nicollet,34274,32,0.000963,2.5857,1.0,0.00249
Nobles,21629,19,0.000925,2.7997,1.0,0.002589
Norman,6375,3,0.000627,2.3206,1.0,0.001456
Olmsted,158293,279,0.001769,2.7736,1.0,0.004906
Otter Tail,58746,30,0.000528,2.5726,1.0,0.001358
Pennington,14119,7,0.000567,2.758,1.0,0.001563
Pine,29579,28,0.00098,2.6789,1.0,0.002627
Pipestone,9126,11,0.001315,2.8759,1.0,0.003782
Polk,31364,27,0.000893,2.5425,1.08,0.002451
Pope,11249,7,0.000711,2.42,1.0,0.001721
Ramsey,550321,584,0.001063,2.6285,1.0,0.002794
Red Lake,4055,2,0.00074,2.6215,1.0,0.001939
Redwood,15170,16,0.001121,2.8515,1.0,0.003195
Renville,14548,18,0.001306,2.6488,1.3846,0.00479
Rice,66972,161,0.002419,2.7214,1.0,0.006583
Rock,9315,10,0.001181,2.7544,1.0,0.003253
Roseau,15165,4,0.00033,2.3528,1.0,0.000776
St. Louis,199070,227,0.001145,2.5688,1.0,0.002942
Scott,149013,242,0.001631,2.7207,1.0,0.004437
Sherburne,97238,95,0.000987,2.6653,1.0,0.002631
Sibley,14865,12,0.000875,2.8017,1.0,0.00245
Stearns,161075,149,0.000931,2.6039,1.0,0.002425
Steele,36649,61,0.001692,2.8438,1.0,0.004811
Stevens,9805,4,0.00051,2.2979,1.0,0.001172
Swift,9266,16,0.001835,2.7658,1.2308,0.006245
Todd,24664,14,0.000608,2.4956,1.0,0.001518
Traverse,3259,21,0.006751,3.1121,1.75,0.036765
Wabasha,21627,39,0.00185,2.9003,1.0,0.005364
Wadena,13682,18,0.001389,2.6717,2.0,0.00742
Waseca,18612,38,0.002095,2.7587,1.0,0.005781
Washington,262440,371,0.001417,2.7222,1.0,0.003859
Watonwan,10897,15,0.001468,2.7956,2.0,0.00821
Wilkin,6207,8,0.00145,2.8918,1.0,0.004193
Winona,50484,67,0.001347,2.6538,1.0,0.003575
Wright,138377,148,0.001077,2.6319,1.0,0.002834
Yellow Medicine,9709,5,0.000618,2.603,1.0,0.001609
