Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,43733759,29061,0.000665,3.4821,1.0,0.002314
Cherkasy Oblast,1206351,736,0.000611,3.4821,1.0,0.002127
Chernihiv Oblast,1005745,638,0.000635,3.4821,1.0,0.002212
Chernivtsi Oblast,904374,1332,0.001474,3.4821,1.0207,0.005239
Crimea Republic*,1913731,1204,0.00063,3.4821,1.0,0.002193
Dnipropetrovsk Oblast,3206477,1451,0.000453,3.4821,1.0,0.001577
Donetsk Oblast,4165901,991,0.000238,3.4821,1.0,0.000829
Ivano-Frankivsk Oblast,1373252,2086,0.00152,3.4821,1.4317,0.007576
Kharkiv Oblast,2675598,1514,0.000566,3.4821,1.0,0.001972
Kherson Oblast,1037640,399,0.000385,3.4821,1.0,0.001342
Khmelnytskyi Oblast,1264705,706,0.000559,3.4821,1.0,0.001947
Kiev,2950800,2285,0.000775,3.4821,1.0,0.002698
Kiev Oblast,1767940,1461,0.000827,3.4821,1.0,0.00288
Kirovohrad Oblast,945549,200,0.000213,3.4821,1.0,0.00074
Luhansk Oblast,2151833,403,0.000188,3.4821,1.0,0.000654
Lviv Oblast,2522021,1929,0.000765,3.4821,1.011,0.002694
Mykolaiv Oblast,2522021,1101,0.000437,3.4821,1.0,0.001522
Odessa Oblast,2380308,1242,0.000522,3.4821,1.0,0.001818
Poltava Oblast,1400439,793,0.000567,3.4821,1.0,0.001974
Rivne Oblast,1157301,847,0.000733,3.4821,1.0,0.002551
Sevastopol*,443211,700,0.001582,3.4821,1.016,0.005595
Sumy Oblast,1081418,679,0.000629,3.4821,1.0,0.00219
Ternopil Oblast,1045879,902,0.000863,3.4821,1.1317,0.003402
Vinnytsia Oblast,1560394,1191,0.000764,3.4821,1.2329,0.00328
Volyn Oblast,1035330,763,0.000738,3.4821,1.0597,0.002723
Zakarpattia Oblast,1256802,1162,0.000925,3.4821,1.3735,0.004426
Zaporizhia Oblast,1705836,1324,0.000777,3.4821,1.0,0.002705
Zhytomyr Oblast,1220193,1022,0.000838,3.4821,1.1445,0.003341
