Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,67886004,166750,0.002456,2.7131,1.0,0.006664
England,55977200,150683,0.002692,2.7131,1.0,0.007303
Northern Ireland,1881600,3533,0.001878,2.7131,1.0,0.005096
Scotland,5463300,7580,0.001388,2.7131,1.0,0.003765
Wales,3138600,4329,0.00138,2.7131,1.0,0.003743
Bermuda,62273,5,9.6e-05,2.7131,1.6667,0.000436
British Virgin Islands,30237,0,3.3e-05,2.7131,1.0,9e-05
Cayman Islands,65720,7,0.000122,2.7131,2.0,0.000661
Channel Islands,170499,251,0.001478,2.7131,2.0,0.00802
Falkland Islands (Malvinas),3483,6,0.00201,2.7131,2.0,0.010906
Gibraltar,33691,136,0.004066,2.7131,1.0,0.011033
Isle of Man,85032,2,3.5e-05,2.7131,1.0,9.6e-05
Montserrat,4999,0,0.0002,2.7131,1.0,0.000543
Turks and Caicos Islands,38718,217,0.00563,2.7131,1.1923,0.018214
Anguilla,15002,1,0.000133,2.7131,1.0,0.000362
